timeStep,x,y,size,gridCount-PID7
1,0.0,0.0,5.0,2
1,0.0,5.0,5.0,3
1,5.0,0.0,5.0,0
1,5.0,5.0,5.0,0
1,10.0,0.0,5.0,0
1,10.0,5.0,5.0,0
1,15.0,0.0,5.0,0
1,15.0,5.0,5.0,0
1,20.0,0.0,5.0,0
1,20.0,5.0,5.0,0
1,25.0,0.0,5.0,0
1,25.0,5.0,5.0,0
1,30.0,0.0,5.0,0
1,30.0,5.0,5.0,0
1,35.0,0.0,5.0,0
1,35.0,5.0,5.0,0
1,40.0,0.0,5.0,0
1,40.0,5.0,5.0,0
1,45.0,0.0,5.0,0
1,45.0,5.0,5.0,0
1,50.0,0.0,5.0,0
1,50.0,5.0,5.0,0
1,55.0,0.0,5.0,0
1,55.0,5.0,5.0,0
1,60.0,0.0,5.0,0
1,60.0,5.0,5.0,0
1,65.0,0.0,5.0,0
1,65.0,5.0,5.0,0
1,70.0,0.0,5.0,0
1,70.0,5.0,5.0,0
1,75.0,0.0,5.0,0
1,75.0,5.0,5.0,0
1,80.0,0.0,5.0,0
1,80.0,5.0,5.0,0
1,85.0,0.0,5.0,0
1,85.0,5.0,5.0,0
1,90.0,0.0,5.0,0
1,90.0,5.0,5.0,0
1,95.0,0.0,5.0,0
1,95.0,5.0,5.0,0
2,0.0,0.0,5.0,2
2,0.0,5.0,5.0,3
2,5.0,0.0,5.0,0
2,5.0,5.0,5.0,0
2,10.0,0.0,5.0,0
2,10.0,5.0,5.0,0
2,15.0,0.0,5.0,0
2,15.0,5.0,5.0,0
2,20.0,0.0,5.0,0
2,20.0,5.0,5.0,0
2,25.0,0.0,5.0,0
2,25.0,5.0,5.0,0
2,30.0,0.0,5.0,0
2,30.0,5.0,5.0,0
2,35.0,0.0,5.0,0
2,35.0,5.0,5.0,0
2,40.0,0.0,5.0,0
2,40.0,5.0,5.0,0
2,45.0,0.0,5.0,0
2,45.0,5.0,5.0,0
2,50.0,0.0,5.0,0
2,50.0,5.0,5.0,0
2,55.0,0.0,5.0,0
2,55.0,5.0,5.0,0
2,60.0,0.0,5.0,0
2,60.0,5.0,5.0,0
2,65.0,0.0,5.0,0
2,65.0,5.0,5.0,0
2,70.0,0.0,5.0,0
2,70.0,5.0,5.0,0
2,75.0,0.0,5.0,0
2,75.0,5.0,5.0,0
2,80.0,0.0,5.0,0
2,80.0,5.0,5.0,0
2,85.0,0.0,5.0,0
2,85.0,5.0,5.0,0
2,90.0,0.0,5.0,0
2,90.0,5.0,5.0,0
2,95.0,0.0,5.0,0
2,95.0,5.0,5.0,0
3,0.0,0.0,5.0,2
3,0.0,5.0,5.0,3
3,5.0,0.0,5.0,0
3,5.0,5.0,5.0,0
3,10.0,0.0,5.0,0
3,10.0,5.0,5.0,0
3,15.0,0.0,5.0,0
3,15.0,5.0,5.0,0
3,20.0,0.0,5.0,0
3,20.0,5.0,5.0,0
3,25.0,0.0,5.0,0
3,25.0,5.0,5.0,0
3,30.0,0.0,5.0,0
3,30.0,5.0,5.0,0
3,35.0,0.0,5.0,0
3,35.0,5.0,5.0,0
3,40.0,0.0,5.0,0
3,40.0,5.0,5.0,0
3,45.0,0.0,5.0,0
3,45.0,5.0,5.0,0
3,50.0,0.0,5.0,0
3,50.0,5.0,5.0,0
3,55.0,0.0,5.0,0
3,55.0,5.0,5.0,0
3,60.0,0.0,5.0,0
3,60.0,5.0,5.0,0
3,65.0,0.0,5.0,0
3,65.0,5.0,5.0,0
3,70.0,0.0,5.0,0
3,70.0,5.0,5.0,0
3,75.0,0.0,5.0,0
3,75.0,5.0,5.0,0
3,80.0,0.0,5.0,0
3,80.0,5.0,5.0,0
3,85.0,0.0,5.0,0
3,85.0,5.0,5.0,0
3,90.0,0.0,5.0,0
3,90.0,5.0,5.0,0
3,95.0,0.0,5.0,0
3,95.0,5.0,5.0,0
4,0.0,0.0,5.0,2
4,0.0,5.0,5.0,3
4,5.0,0.0,5.0,0
4,5.0,5.0,5.0,0
4,10.0,0.0,5.0,0
4,10.0,5.0,5.0,0
4,15.0,0.0,5.0,0
4,15.0,5.0,5.0,0
4,20.0,0.0,5.0,0
4,20.0,5.0,5.0,0
4,25.0,0.0,5.0,0
4,25.0,5.0,5.0,0
4,30.0,0.0,5.0,0
4,30.0,5.0,5.0,0
4,35.0,0.0,5.0,0
4,35.0,5.0,5.0,0
4,40.0,0.0,5.0,0
4,40.0,5.0,5.0,0
4,45.0,0.0,5.0,0
4,45.0,5.0,5.0,0
4,50.0,0.0,5.0,0
4,50.0,5.0,5.0,0
4,55.0,0.0,5.0,0
4,55.0,5.0,5.0,0
4,60.0,0.0,5.0,0
4,60.0,5.0,5.0,0
4,65.0,0.0,5.0,0
4,65.0,5.0,5.0,0
4,70.0,0.0,5.0,0
4,70.0,5.0,5.0,0
4,75.0,0.0,5.0,0
4,75.0,5.0,5.0,0
4,80.0,0.0,5.0,0
4,80.0,5.0,5.0,0
4,85.0,0.0,5.0,0
4,85.0,5.0,5.0,0
4,90.0,0.0,5.0,0
4,90.0,5.0,5.0,0
4,95.0,0.0,5.0,0
4,95.0,5.0,5.0,0
5,0.0,0.0,5.0,2
5,0.0,5.0,5.0,3
5,5.0,0.0,5.0,0
5,5.0,5.0,5.0,0
5,10.0,0.0,5.0,0
5,10.0,5.0,5.0,0
5,15.0,0.0,5.0,0
5,15.0,5.0,5.0,0
5,20.0,0.0,5.0,0
5,20.0,5.0,5.0,0
5,25.0,0.0,5.0,0
5,25.0,5.0,5.0,0
5,30.0,0.0,5.0,0
5,30.0,5.0,5.0,0
5,35.0,0.0,5.0,0
5,35.0,5.0,5.0,0
5,40.0,0.0,5.0,0
5,40.0,5.0,5.0,0
5,45.0,0.0,5.0,0
5,45.0,5.0,5.0,0
5,50.0,0.0,5.0,0
5,50.0,5.0,5.0,0
5,55.0,0.0,5.0,0
5,55.0,5.0,5.0,0
5,60.0,0.0,5.0,0
5,60.0,5.0,5.0,0
5,65.0,0.0,5.0,0
5,65.0,5.0,5.0,0
5,70.0,0.0,5.0,0
5,70.0,5.0,5.0,0
5,75.0,0.0,5.0,0
5,75.0,5.0,5.0,0
5,80.0,0.0,5.0,0
5,80.0,5.0,5.0,0
5,85.0,0.0,5.0,0
5,85.0,5.0,5.0,0
5,90.0,0.0,5.0,0
5,90.0,5.0,5.0,0
5,95.0,0.0,5.0,0
5,95.0,5.0,5.0,0
6,0.0,0.0,5.0,2
6,0.0,5.0,5.0,1
6,5.0,0.0,5.0,0
6,5.0,5.0,5.0,2
6,10.0,0.0,5.0,0
6,10.0,5.0,5.0,0
6,15.0,0.0,5.0,0
6,15.0,5.0,5.0,0
6,20.0,0.0,5.0,0
6,20.0,5.0,5.0,0
6,25.0,0.0,5.0,0
6,25.0,5.0,5.0,0
6,30.0,0.0,5.0,0
6,30.0,5.0,5.0,0
6,35.0,0.0,5.0,0
6,35.0,5.0,5.0,0
6,40.0,0.0,5.0,0
6,40.0,5.0,5.0,0
6,45.0,0.0,5.0,0
6,45.0,5.0,5.0,0
6,50.0,0.0,5.0,0
6,50.0,5.0,5.0,0
6,55.0,0.0,5.0,0
6,55.0,5.0,5.0,0
6,60.0,0.0,5.0,0
6,60.0,5.0,5.0,0
6,65.0,0.0,5.0,0
6,65.0,5.0,5.0,0
6,70.0,0.0,5.0,0
6,70.0,5.0,5.0,0
6,75.0,0.0,5.0,0
6,75.0,5.0,5.0,0
6,80.0,0.0,5.0,0
6,80.0,5.0,5.0,0
6,85.0,0.0,5.0,0
6,85.0,5.0,5.0,0
6,90.0,0.0,5.0,0
6,90.0,5.0,5.0,0
6,95.0,0.0,5.0,0
6,95.0,5.0,5.0,0
7,0.0,0.0,5.0,0
7,0.0,5.0,5.0,1
7,5.0,0.0,5.0,2
7,5.0,5.0,5.0,2
7,10.0,0.0,5.0,0
7,10.0,5.0,5.0,0
7,15.0,0.0,5.0,0
7,15.0,5.0,5.0,0
7,20.0,0.0,5.0,0
7,20.0,5.0,5.0,0
7,25.0,0.0,5.0,0
7,25.0,5.0,5.0,0
7,30.0,0.0,5.0,0
7,30.0,5.0,5.0,0
7,35.0,0.0,5.0,0
7,35.0,5.0,5.0,0
7,40.0,0.0,5.0,0
7,40.0,5.0,5.0,0
7,45.0,0.0,5.0,0
7,45.0,5.0,5.0,0
7,50.0,0.0,5.0,0
7,50.0,5.0,5.0,0
7,55.0,0.0,5.0,0
7,55.0,5.0,5.0,0
7,60.0,0.0,5.0,0
7,60.0,5.0,5.0,0
7,65.0,0.0,5.0,0
7,65.0,5.0,5.0,0
7,70.0,0.0,5.0,0
7,70.0,5.0,5.0,0
7,75.0,0.0,5.0,0
7,75.0,5.0,5.0,0
7,80.0,0.0,5.0,0
7,80.0,5.0,5.0,0
7,85.0,0.0,5.0,0
7,85.0,5.0,5.0,0
7,90.0,0.0,5.0,0
7,90.0,5.0,5.0,0
7,95.0,0.0,5.0,0
7,95.0,5.0,5.0,0
8,0.0,0.0,5.0,0
8,0.0,5.0,5.0,0
8,5.0,0.0,5.0,2
8,5.0,5.0,5.0,3
8,10.0,0.0,5.0,0
8,10.0,5.0,5.0,0
8,15.0,0.0,5.0,0
